Pair_Speaker_turn,PairID,PersonID,Turn Start,Turn End,Rms,Pitch,Pulse,ZCR,Spectral_Centroid,Spectral_Bandwidth
20240522_1325_S3WBLMW3QQXC_B_B_25,20240522_1325_S3WBLMW3QQXC,1716396830476-94efdc3a-3f86-41c3-bf7a-fb60f737a28a-cam-audio-1716396831425.csv,401.85358,402.17337,0.05067360939999999,504.34771830240885,1.8207208040000002,0.288330078125,7862.919671040997,5017.246762838752
20240522_1325_S3WBLMW3QQXC_Both_A_25,20240522_1325_S3WBLMW3QQXC,1716396830476-6da5a1b9-8cc7-4071-917d-7fe090c4fdb4-cam-audio-1716396836050.csv,401.85843,404.33527,0.006429605898275862,494.12472251365926,0.9981421066810344,0.0586126919450431,4728.529407236204,6252.203697467603
20240522_1325_S3WBLMW3QQXC_Both_B_25,20240522_1325_S3WBLMW3QQXC,1716396830476-94efdc3a-3f86-41c3-bf7a-fb60f737a28a-cam-audio-1716396831425.csv,402.17337,404.6518,0.06305312640944206,657.6171064908924,1.4259983469098712,0.17641412956008584,5931.964594101975,5033.147373048262
20240522_1325_S3WBLMW3QQXC_A_A_26,20240522_1325_S3WBLMW3QQXC,1716396830476-6da5a1b9-8cc7-4071-917d-7fe090c4fdb4-cam-audio-1716396836050.csv,404.33527,425.25842,0.005610419022029577,292.5267677365487,0.64836174154513,0.03161975913118307,3939.5435400704355,5847.1035892491345
20240522_1325_S3WBLMW3QQXC_Both_A_26,20240522_1325_S3WBLMW3QQXC,1716396830476-6da5a1b9-8cc7-4071-917d-7fe090c4fdb4-cam-audio-1716396836050.csv,419.65817,426.93732,0.01094245896339678,384.28360552808726,0.8973161549414348,0.04090338465409956,4220.554828435519,5963.591863867646
20240522_1325_S3WBLMW3QQXC_B_B_26,20240522_1325_S3WBLMW3QQXC,1716396830476-94efdc3a-3f86-41c3-bf7a-fb60f737a28a-cam-audio-1716396831425.csv,420.73877,420.89853,0.09344488556666666,476.5276245117187,2.4768251066666664,0.1501953125,5331.4975158421785,4770.58955573076
20240522_1325_S3WBLMW3QQXC_Both_B_26,20240522_1325_S3WBLMW3QQXC,1716396830476-94efdc3a-3f86-41c3-bf7a-fb60f737a28a-cam-audio-1716396831425.csv,421.1382,427.13007,0.0317427003836299,647.5463043212891,1.1127260748576513,0.31569294233763345,8790.325910823602,5267.077623375699
20240522_1325_S3WBLMW3QQXC_B_B_27,20240522_1325_S3WBLMW3QQXC,1716396830476-94efdc3a-3f86-41c3-bf7a-fb60f737a28a-cam-audio-1716396831425.csv,427.28986,429.4469,0.06962611560742575,787.4296416473388,1.3854822956336637,0.19850808323019803,6613.7814346486275,5116.843903595019
20240522_1325_S3WBLMW3QQXC_A_A_28,20240522_1325_S3WBLMW3QQXC,1716396830476-6da5a1b9-8cc7-4071-917d-7fe090c4fdb4-cam-audio-1716396836050.csv,431.49432,436.45108,0.011799686551827957,331.09158508957074,0.9983268552258064,0.03759135584677419,4002.278057206851,6065.8720922961875
20240522_1325_S3WBLMW3QQXC_B_B_29,20240522_1325_S3WBLMW3QQXC,1716396830476-94efdc3a-3f86-41c3-bf7a-fb60f737a28a-cam-audio-1716396831425.csv,437.615,451.87,0.00783939633334581,534.2508693015108,0.8436312766092815,0.3978245900776572,10429.163212332522,5253.2132247401605
20240522_1325_S3WBLMW3QQXC_A_A_30,20240522_1325_S3WBLMW3QQXC,1716396830476-6da5a1b9-8cc7-4071-917d-7fe090c4fdb4-cam-audio-1716396836050.csv,456.18436,461.3829,0.018132580110882958,436.0999409011747,1.1802611497535933,0.07983448569045175,5637.44046203418,6586.440775642942
20240522_1325_S3WBLMW3QQXC_B_B_31,20240522_1325_S3WBLMW3QQXC,1716396830476-94efdc3a-3f86-41c3-bf7a-fb60f737a28a-cam-audio-1716396831425.csv,468.27408,468.9929,0.056211714797058825,607.2704411674948,1.3338909191176473,0.15518727022058823,5471.032418935813,4989.043690916559
20240522_1325_S3WBLMW3QQXC_A_A_32,20240522_1325_S3WBLMW3QQXC,1716396830476-6da5a1b9-8cc7-4071-917d-7fe090c4fdb4-cam-audio-1716396836050.csv,492.5022,513.4403,0.01948956240234335,328.77137210669105,1.115381217985736,0.06831858125318391,5215.214215601208,6382.480413593665
20240522_1325_S3WBLMW3QQXC_B_B_32,20240522_1325_S3WBLMW3QQXC,1716396830476-94efdc3a-3f86-41c3-bf7a-fb60f737a28a-cam-audio-1716396831425.csv,511.92258,512.1615,0.04731751117391305,342.20818494713825,1.3086592291304349,0.059994904891304345,5083.238867676419,5634.84135772411
