Pair_Speaker_turn,PairID,Speaker,Turn,Speaker_turn,Turn_Boundary,Turn Start,Turn End
20240521_1823_WBLMay1C89Q6_Both_50,20240521_1823_WBLMay1C89Q6,Both,50,Both_50,1112.375,1118.0865,1119.9623
20240521_1823_WBLMay1C89Q6_B_50,20240521_1823_WBLMay1C89Q6,B,50,B_50,1170.19075,1125.5791,1222.295
20240521_1823_WBLMay1C89Q6_B_51,20240521_1823_WBLMay1C89Q6,B,51,B_51,1179.5772499999998,1223.015,1233.5754
20240521_1823_WBLMay1C89Q6_Both_51,20240521_1823_WBLMay1C89Q6,Both,51,Both_51,1229.4501500000001,1223.315,1235.8853
20240521_1823_WBLMay1C89Q6_A_51,20240521_1823_WBLMay1C89Q6,A,51,A_51,1228.4418500000002,1233.4089,1233.5687
20240521_1823_WBLMay1C89Q6_A_52,20240521_1823_WBLMay1C89Q6,A,52,A_52,1235.0169,1236.1249,1236.6249
20240521_1823_WBLMay1C89Q6_B_53,20240521_1823_WBLMay1C89Q6,B,53,B_53,1240.29,1237.0881,1244.4551
20240521_1823_WBLMay1C89Q6_A_54,20240521_1823_WBLMay1C89Q6,A,54,A_54,1245.99945,1246.3635,1254.9108
20240521_1823_WBLMay1C89Q6_B_55,20240521_1823_WBLMay1C89Q6,B,55,B_55,1253.0497500000001,1256.5454,1259.736
20240521_1823_WBLMay1C89Q6_A_56,20240521_1823_WBLMay1C89Q6,A,56,A_56,1294.2010500000001,1261.9902,1331.8567
20240521_1823_WBLMay1C89Q6_B_57,20240521_1823_WBLMay1C89Q6,B,57,B_57,1298.22345,1333.4199,1334.4567
20240521_1823_WBLMay1C89Q6_A_58,20240521_1823_WBLMay1C89Q6,A,58,A_58,1334.2717,1334.9641,1335.1235
20240521_1823_WBLMay1C89Q6_B_59,20240521_1823_WBLMay1C89Q6,B,59,B_59,1336.5446499999998,1336.61,1338.1252
20240521_1823_WBLMay1C89Q6_A_60,20240521_1823_WBLMay1C89Q6,A,60,A_60,1339.3327,1339.5057,1342.0554
20240521_1823_WBLMay1C89Q6_B_61,20240521_1823_WBLMay1C89Q6,B,61,B_61,1347.759,1342.4474,1356.0123
20240521_1823_WBLMay1C89Q6_Both_61,20240521_1823_WBLMay1C89Q6,Both,61,Both_61,1342.7295,1342.6929,1343.0116
20240521_1823_WBLMay1C89Q6_A_61,20240521_1823_WBLMay1C89Q6,A,61,A_61,1349.36785,1355.6434,1356.0428
20240521_1823_WBLMay1C89Q6_A_62,20240521_1823_WBLMay1C89Q6,A,62,A_62,1356.40225,1356.9215,1357.1611
20240521_1823_WBLMay1C89Q6_B_63,20240521_1823_WBLMay1C89Q6,B,63,B_63,1369.62305,1357.6244,1382.3246
20240521_1823_WBLMay1C89Q6_A_63,20240521_1823_WBLMay1C89Q6,A,63,A_63,1360.0692,1362.1954,1362.514
